fp_id,s1,s2,s3,s4,s5,name
71,30,19,18,4,4,/home/mohammed/server/FMVLD/Impression_1/fp_1/71.jpg
72,25,28,10,4,12,/home/mohammed/server/FMVLD/Impression_1/fp_1/72.jpg
73,26,34,19,3,6,/home/mohammed/server/FMVLD/Impression_1/fp_1/73.jpg
74,19,25,15,5,17,/home/mohammed/server/FMVLD/Impression_1/fp_1/74.jpg
75,15,20,13,3,6,/home/mohammed/server/FMVLD/Impression_1/fp_1/75.jpg
76,17,37,15,2,7,/home/mohammed/server/FMVLD/Impression_1/fp_1/76.jpg
77,18,18,10,2,7,/home/mohammed/server/FMVLD/Impression_1/fp_1/77.jpg
78,15,29,13,7,11,/home/mohammed/server/FMVLD/Impression_1/fp_1/78.jpg
79,30,20,16,6,6,/home/mohammed/server/FMVLD/Impression_1/fp_1/79.jpg
80,24,26,19,3,9,/home/mohammed/server/FMVLD/Impression_1/fp_1/80.jpg
81,21,23,16,2,13,/home/mohammed/server/FMVLD/Impression_1/fp_1/81.jpg
82,21,20,28,7,12,/home/mohammed/server/FMVLD/Impression_1/fp_1/82.jpg
83,22,27,20,6,13,/home/mohammed/server/FMVLD/Impression_1/fp_1/83.jpg
84,25,29,16,6,8,/home/mohammed/server/FMVLD/Impression_1/fp_1/84.jpg
85,32,22,26,9,14,/home/mohammed/server/FMVLD/Impression_1/fp_1/85.jpg
86,29,26,14,6,7,/home/mohammed/server/FMVLD/Impression_1/fp_1/86.jpg
87,16,30,10,7,8,/home/mohammed/server/FMVLD/Impression_1/fp_1/87.jpg
88,24,25,8,9,9,/home/mohammed/server/FMVLD/Impression_1/fp_1/88.jpg
89,22,24,14,9,10,/home/mohammed/server/FMVLD/Impression_1/fp_1/89.jpg
90,19,23,14,4,12,/home/mohammed/server/FMVLD/Impression_1/fp_1/90.jpg
91,22,24,14,5,16,/home/mohammed/server/FMVLD/Impression_1/fp_1/91.jpg
92,19,32,17,9,7,/home/mohammed/server/FMVLD/Impression_1/fp_1/92.jpg
93,27,24,10,4,15,/home/mohammed/server/FMVLD/Impression_1/fp_1/93.jpg
94,28,31,13,10,12,/home/mohammed/server/FMVLD/Impression_1/fp_1/94.jpg
95,29,24,12,2,9,/home/mohammed/server/FMVLD/Impression_1/fp_1/95.jpg
96,24,19,18,5,8,/home/mohammed/server/FMVLD/Impression_1/fp_1/96.jpg
97,23,26,10,8,8,/home/mohammed/server/FMVLD/Impression_1/fp_1/97.jpg
98,22,21,10,5,7,/home/mohammed/server/FMVLD/Impression_1/fp_1/98.jpg
99,20,25,16,6,6,/home/mohammed/server/FMVLD/Impression_1/fp_1/99.jpg
100,18,17,13,9,15,/home/mohammed/server/FMVLD/Impression_1/fp_1/100.jpg
101,32,34,9,4,4,/home/mohammed/server/FMVLD/Impression_1/fp_1/101.jpg
102,16,26,10,5,7,/home/mohammed/server/FMVLD/Impression_1/fp_1/102.jpg
103,23,16,17,4,10,/home/mohammed/server/FMVLD/Impression_1/fp_1/103.jpg
