1,64
3,54
4,43
5,44
6,41
7,36
8,33
9,26
10,18
11,34
12,24
13,27
14,36
15,17
16,28
17,34
18,34
19,25
20,27
21,27
22,34
23,27
24,37
25,31
26,25
27,31
28,24
29,34
30,29
31,46
32,42
33,33
34,25
35,25
36,19
37,25
38,24
39,25
40,29
41,34
42,38
43,41
44,31
45,30
46,35
47,34
48,40
49,37
50,38
51,20
52,29
53,21
54,23
55,22
56,25
57,23
58,43
59,26
60,41
61,27
62,35
63,37
64,31
65,24
66,34
67,27
68,32
69,25
70,25
71,26
72,38
73,24
74,32
75,28
76,35
77,27
78,22
79,28
80,27
81,34
82,22
83,29
84,34
85,28
86,43
87,27
88,35
89,23
90,25
91,31
92,32
93,30
94,28
95,35
96,27
97,22
98,35
99,41
100,26
101,37
102,28
103,21
104,45
105,25
106,22
107,29
108,27
109,28
110,39
111,35
112,21
113,24
114,42
115,29
116,37
117,31
118,24
119,18
120,36
121,29
122,31
123,26
124,27
125,39
126,28
127,35
128,34
129,23
130,23
131,39
132,33
133,34
134,19
135,28
136,27
137,27
138,26
139,35
140,25
141,35
142,27
143,32
144,40
145,24
146,28
147,21
148,34
149,25
150,25
151,13
152,30
153,28
154,29
155,22
156,32
157,35
158,35
159,21
160,31
161,26
162,30
163,35
164,23
165,23
166,21
167,22
168,27
169,37
170,39
171,34
172,26
173,43
174,28
175,39
176,31
177,31
178,32
179,27
180,37
181,22
182,27
183,30
184,39
185,36
186,24
187,27
188,30
189,30
190,42
191,36
192,37
193,25
194,18
195,26
196,21
197,31
198,32
199,22
200,37
201,28
202,33
203,37
204,34
205,34
206,33
207,28
208,49
209,23
210,28
211,28
212,31
213,43
214,25
215,33
216,28
217,34
218,23
219,39
220,33
221,28
222,36
223,29
224,37
225,34
226,30
227,35
228,22
229,20
230,31
231,32
232,38
233,27
234,27
235,14
236,26
237,21
238,37
239,31
240,40
241,20
242,32
243,31
244,29
245,31
246,32
247,36
248,16
249,24
250,41
251,19
252,32
253,21
254,27
255,28
256,25
257,23
258,18
259,21
260,24
261,21
262,28
263,32
264,33
265,25
266,30
267,29
268,25
269,35
270,25
271,32
272,30
273,32
274,36
275,35
276,34
277,23
278,35
279,27
280,32
281,22
282,29
283,21
284,32
285,28
286,27
287,30
288,27
289,33
290,38
291,32
292,34
293,27
294,29
295,39
296,32
297,35
298,38
299,26
300,30
301,30
302,38
303,20
304,38
305,39
306,37
307,43
308,27
309,36
310,26
311,37
312,36
313,24
314,27
315,23
316,30
317,20
318,35
319,27
320,22
321,24
322,31
323,42
324,28
325,31
326,36
327,38
328,32
329,40
330,30
331,27
332,42
333,32
334,23
335,31
336,35
337,22
338,20
339,29
340,32
341,30
342,24
343,25
344,28
345,27
346,24
347,22
348,28
349,27
350,28
351,20
352,24
353,34
354,23
355,41
356,26
357,25
358,38
359,52
360,44
361,29
362,21
363,27
364,19
365,35
366,30
367,22
368,38
369,33
370,31
371,39
372,28
373,31
374,26
375,31
376,40
377,33
378,32
379,25
380,23
381,21
382,34
383,21
384,25
385,28
386,35
387,39
388,48
389,40
390,33
391,36
392,40
393,34
394,38
395,41
396,34
397,35
398,39
399,34
400,41
401,23
402,25
403,36
