id,atb,bta
534,25,24
535,23,32
536,30,35
537,32,34
538,30,24
539,39,32
540,33,40
541,26,25
542,28,24
543,32,43
544,35,31
545,18,29
546,32,38
547,31,31
548,26,18
549,32,33
550,28,27
551,32,30
552,20,20
553,30,33
554,28,22
555,28,26
556,23,21
557,25,19
558,21,21
559,31,27
560,36,35
561,40,30
562,23,30
563,38,24
564,22,27
565,39,26
566,25,24
567,33,25
568,23,35
569,45,36
570,26,33
571,30,24
572,30,25
573,27,29
574,26,30
575,39,26
576,23,26
577,25,27
578,36,36
579,27,27
580,28,25
581,27,30
582,34,17
583,32,27
584,26,21
585,27,27
586,33,34
587,20,30
588,29,28
589,28,35
590,28,33
591,29,27
592,26,32
593,44,37
594,31,29
595,24,30
596,19,19
597,41,27
598,25,30
599,28,37
600,28,21
601,38,25
602,25,29
603,32,20
604,30,30
605,29,25
606,32,28
607,19,30
608,23,29
609,22,37
610,31,28
611,51,41
612,33,40
613,38,29
614,27,21
615,38,42
616,32,29
617,32,38
618,30,44
619,30,30
620,32,32
621,26,25
622,23,21
623,16,18
624,39,31
625,31,27
626,33,29
627,29,28
628,27,27
629,28,33
630,17,21
631,29,24
632,23,27
633,27,28
634,30,34
635,27,27
636,27,25
637,37,31
638,27,25
639,36,33
640,26,27
641,23,27
642,21,30
643,37,30
644,19,21
645,26,22
646,31,29
647,31,22
648,41,35
649,29,21
650,29,25
651,34,24
652,30,25
653,29,40
654,34,39
655,33,18
656,33,43
657,26,18
658,25,24
659,30,23
660,28,26
661,33,30
662,23,24
663,33,30
664,33,31
665,26,38
666,25,31
667,34,30
668,30,30
669,30,42
670,24,25
671,31,17
672,19,18
673,29,22
674,32,29
675,31,29
676,33,24
677,33,29
678,35,25
679,21,23
680,32,26
681,23,25
682,31,22
683,21,23
684,37,33
685,21,29
686,34,24
687,31,33
688,16,27
689,27,31
690,32,33
691,33,28
692,26,33
693,37,35
694,48,37
695,25,28
696,22,25
697,46,36
698,29,33
